"","pathway","description","CV1","CV2","CV3","CV4","CV5","GF1","GF2","GF3","GF4","GF5","GF6"
"104","PANTO-PWY","phosphopantothenate biosynthesis I",891.553768987121,508.181185497297,475.158303978197,900.483774418998,397.603101637781,28.8956715315551,35.437551707887,114.226840037015,12.6591335446854,15.4506991004679,40.1605343944917
"105","PANTOSYN-PWY","pantothenate and coenzyme A biosynthesis I",956.748402021109,599.725785822598,552.630989592773,1001.60237384125,485.518688193078,41.003827956139,49.6291889511392,129.925452657193,18.5048370512443,22.1034306682865,55.1833955790226
"107","PEPTIDOGLYCANSYN-PWY","peptidoglycan biosynthesis I (meso-diaminopimelate containing)",1146.24107548993,1022.12448914319,996.006952636035,1298.83238876484,1075.91525833757,280.02243379687,276.569581762308,316.837009626377,268.670563897104,268.577790320037,278.948753716869
"108","PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)",1092.93929277659,1136.61046911633,1098.450352272,1290.56218082269,1247.24332384672,281.067453184779,275.817797223258,330.794548141045,269.45720626102,268.953648403526,278.582563189671
"109","POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II",14.6409695244706,8.96348808534042,21.2411740976733,7.78629315674884,10.9551783332509,0,0,3.59835864716494,0,0.511684557826064,4.21344611148934
"110","POLYAMSYN-PWY","superpathway of polyamine biosynthesis I",89.531416805383,37.1194647428557,43.4265950659485,91.3952508987681,15.9548890700183,0,1.25646123260437,3.50970765690776,0,0.468188193293383,4.33893352812272
"111","POLYISOPRENSYN-PWY","polyisoprenoid biosynthesis (E. coli)",982.30989346591,660.167678141695,640.569090108892,1063.22205548393,552.174276124001,246.589658802139,244.426315385436,272.136314046251,239.303003420265,239.357967667437,247.25342000063
"115","PWY-1269","CMP-3-deoxy-D-manno-octulosonate biosynthesis I",724.780462332443,331.75725756127,320.620184626793,730.584243774718,229.619890030589,15,18.75,50,6.5,7.45,19.4619017230376
"117","PWY-1861","formaldehyde assimilation II (RuMP Cycle)",101.579758770859,792.971282191902,634.706748367139,134.981951756623,1158.91393091773,10.995553724949,5.73038329984073,18.592375201581,1.94509449502196,5.52194010922157,3.88858585946758
"119","PWY-2942","L-lysine biosynthesis III",1317.07531935556,1207.89365099695,1132.6724963386,1515.62698440942,1261.49613818908,260.974655308999,255.418987478641,303.458225206565,245.872094663016,246.163347743985,259.922483854546
"120","PWY-3001","superpathway of L-isoleucine biosynthesis I",1315.31898125602,1184.14643665743,1138.96249015318,1480.06227772016,1264.50672606786,269.834114292606,266.364173078108,307.175279476551,259.110531181242,259.54331578953,270.130848783974
"125","PWY-4984","urea cycle",582.793592122988,432.768161756763,434.43231987027,722.555606546174,398.04624998642,34.8726054700955,36.9879370674295,54.4179659832251,12.1833246581364,16.885773173122,40.2130464290606
"127","PWY-5022","4-aminobutanoate degradation V",39.1386051318525,15.5294117647059,20.2211278030249,24.0943002027577,7.6146469829356,0,0,0,0,0,4.16699029126214
"130","PWY-5097","L-lysine biosynthesis VI",1317.67150724246,1247.24089461195,1187.16849597382,1514.03892239962,1327.71216706035,84.1113417229419,64.3765499055161,179.377561696466,46.8837326145022,43.7475372232804,72.4407648916789
"131","PWY-5100","pyruvate fermentation to acetate and lactate II",1241.64214378765,1293.52498607598,1303.37111998606,1424.39719883438,1569.50232076952,365.093212504219,361.756952968358,396.407699535619,354.563435026392,351.526447234325,362.224708085562
"132","PWY-5101","L-isoleucine biosynthesis II",1433.83702000626,1392.61841705032,1350.97841459023,1637.93116241418,1538.9704103686,331.449684619598,325.36104484013,394.960308667714,317.300907516599,317.066822027028,329.632694258595
"133","PWY-5103","L-isoleucine biosynthesis III",1245.3614957516,1195.03474540664,1159.93548677201,1429.10899103957,1335.18535218214,293.023438594035,287.482260408843,334.874335688908,280.54034356522,280.347998533826,291.546540797008
"134","PWY-5104","L-isoleucine biosynthesis IV",1304.05482608951,1347.43456810238,1341.21043445069,1486.17834408693,1545.84462999342,293.424038642658,289.064315570637,336.94680130533,281.861597046705,280.827278739182,289.182221296963
"135","PWY-5121","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",1140.53469183533,1038.79015486012,1021.11864360065,1292.8215049968,1117.57111407426,41.9595865702415,36.4813488433664,96.6642215071163,20.2690729715979,20.7493202295669,40.3816885231641
"136","PWY-5154","L-arginine biosynthesis III (via N-acetyl-L-citrulline)",748.726004603693,540.965989900739,534.827859969523,889.79632004775,438.240996554313,261.085909738094,257.610695106601,314.02371541721,252.537913552092,252.894364913475,262.388344289964
"140","PWY-5188","tetrapyrrole biosynthesis I (from glutamate)",191.949723009784,332.462533910303,351.821293142521,149.752195029192,463.321902201713,0.80053057084732,3.9719072516481,55.7061624135448,0.931545518701482,1.76718518896037,7.01975094155799
"141","PWY-5189","tetrapyrrole biosynthesis II (from glycine)",199.165284664921,360.704283935229,305.50678372722,180.838324049213,442.964194168828,0.640179659316243,1.66531515560486,58.143620930001,0.919540229885058,1.83668392140292,6.25412818071886
"142","PWY-5304","superpathway of sulfur oxidation (Acidianus ambivalens)",46.51,49.51,6,15.51,14.51,0,0,0,0,0,1
"145","PWY-5384","sucrose degradation IV (sucrose phosphorylase)",196.204113746207,254.48961980708,198.734982999622,242.883604885176,199.801754851452,5.93771626297578,3.97199467898901,37.4012474012474,3.9687072168981,0.399688388579441,4.75994854500574
"151","PWY-5484","glycolysis II (from fructose 6-phosphate)",1399.05974299637,1010.7655683407,1015.94916703653,1564.37935191842,946.682880489028,352.591183964071,344.979504922579,388.718594181866,333.554122145379,334.630685227034,350.246485954095
"152","PWY-5505","L-glutamate and L-glutamine biosynthesis",681.745319146535,1065.20230986775,1062.47784142319,1014.73224327522,1291.50870064859,23.1213228098952,5.32674853521189,31.250918877159,11.6077885610956,10.2734524463691,11.2276763855087
"153","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",343.546818897379,559.768072467537,493.910498991214,321.157230489892,540.990838658955,12.1303949579344,0.663046920409068,51.2176265410713,6.46974140854098,4.11015534086783,4.90809328948944
"158","PWY-5659","GDP-mannose biosynthesis",1021.18209905402,576.761763927027,553.274343560849,1341.03108112932,485.536860144722,54.3919646667934,59.4427325261545,152.67168153505,20.1211191860302,27.6337706248665,61.9309085886948
"159","PWY-5667","CDP-diacylglycerol biosynthesis I",1157.41934738354,1220.45444011643,1161.12284339846,1314.59337360001,1319.50574632507,289.193017330715,283.828804878406,350.917257321344,277.438575699505,276.754894331744,286.296003904928
"162","PWY-5686","UMP biosynthesis",1289.43181230957,1172.35553256913,1121.59891254657,1458.38477283513,1221.54925015547,277.991460712655,273.520295857364,321.539938343101,265.436067786668,265.169447858045,276.34901344675
"163","PWY-5695","urate biosynthesis/inosine 5'-phosphate degradation",1203.20996227998,827.870596947936,811.541586550079,1355.9457029312,810.333812802443,288.299496507148,287.14892176899,318.493177071674,277.194954412327,277.495899089473,288.034436357236
"164","PWY-5705","allantoin degradation to glyoxylate III",24.528609613555,101.241234464879,36.7709241390922,23.2949568264297,18.9785567276812,0,0,6.33663366336634,0,0.352941176470588,0.666666666666667
"166","PWY-5837","1,4-dihydroxy-2-naphthoate biosynthesis I",6.77538675671884,11.4022199399962,15.6728339085854,3.49004929805915,8.55787007755911,254.639100001194,254.772140665459,252.696754404896,251.860166472054,252.617400376718,255.861735375308
"167","PWY-5838","superpathway of menaquinol-8 biosynthesis I",22.7513635429075,36.3354045962977,48.5803115895784,11.8351447635244,27.0344342249307,108.11406764582,123.525915352015,191.935476178703,52.8051829418292,66.8653484256004,125.831253689132
"168","PWY-5840","superpathway of menaquinol-7 biosynthesis",22.7294785482586,36.4229016843145,48.7386852427112,11.8322618442397,27.1312170010988,254.091717268459,256.799731560721,263.471978133207,248.38693693705,249.381727709577,256.828368258217
"175","PWY-5861","superpathway of demethylmenaquinol-8 biosynthesis",15.3184462639936,24.9659374265827,33.8297592174013,7.93215152997858,18.6945620999002,84.5560021429027,98.6796968701989,167.184717787958,38.0130063544078,49.1679198899376,100.882384057878
"177","PWY-5863","superpathway of phylloquinol biosynthesis",7.73657568453707,13.0096292295387,17.8700271794583,3.98704224304818,9.76901778643376,254.433051969678,254.024317014948,256.057227272018,250.604020099078,251.277239493545,255.337866301869
"179","PWY-5897","superpathway of menaquinol-11 biosynthesis",19.9818630416655,32.2070100778473,43.2664686539974,10.3760818248826,23.9946260025802,247.562721818545,250.184383763236,256.514390104495,242.030323245135,243.009698389557,250.240504794857
"180","PWY-5898","superpathway of menaquinol-12 biosynthesis",19.9818630416655,32.2070100778473,43.2664686539974,10.3760818248826,23.9946260025802,247.562721818545,250.184383763236,256.514390104495,242.030323245135,243.009698389557,250.240504794857
"181","PWY-5899","superpathway of menaquinol-13 biosynthesis",19.9818630416655,32.2070100778473,43.2664686539974,10.3760818248826,23.9946260025802,247.562721818545,250.184383763236,256.514390104495,242.030323245135,243.009698389557,250.240504794857
"182","PWY-5910","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)",71.0342153192611,19.6716048077459,29.3067820555808,60.6457423947982,9.3967054446283,248.651145241269,247.843038142109,257.958722380763,246.856996372537,246.829773000367,248.551678734799
"183","PWY-5913","TCA cycle VI (obligate autotrophs)",1279.76609747321,724.439870787955,750.127798844348,1309.44133415176,632.815918152699,53.6693278936447,42.7590285290849,85.8429467177796,21.0459294303174,27.191061452514,56.2190156599553
"188","PWY-5973","cis-vaccenate biosynthesis",1378.99715135586,1206.12985293267,1156.79861257955,1553.04997853471,1260.43996008995,384.165076630006,381.187045426056,477.664673666984,369.96352585742,370.734558631564,386.5927912705
"190","PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I",1387.76737890068,1218.04482392768,1187.02480067644,1541.46018879145,1275.40849241726,300.217278300786,297.315870006297,341.944305530402,283.066251822316,283.944446910062,298.815933541911
"191","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II",1312.24800327505,1203.62790111506,1170.28145170981,1462.50644875511,1277.46201528251,309.519398257073,305.461160816551,348.253229294332,293.561767136583,294.014879461315,306.804299195665
"192","PWY-6123","inosine-5'-phosphate biosynthesis I",1273.97979340485,1057.34020413597,1030.65232941135,1424.45927251269,1108.72434540578,257.809885931559,254.717625716594,290.05027321844,243.794035576074,244.569239241942,256.923175614772
"193","PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II",1056.56855084405,583.175364011502,581.794186934288,1175.8828996214,500.521290451302,46.4115441196199,51.6813669866852,132.165371139434,19.9005015860067,23.6342519601221,59.9240156218913
"194","PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II",1264.63368188099,1075.92767338234,962.9970710306,1500.63168481879,956.985801035763,297.09026116529,291.547336821248,330.888111694182,283.732437615161,283.945265457063,295.414545593322
"195","PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",960.906489700056,724.730196014217,672.287468735268,963.660461616204,869.373313476802,58.7485311398355,67.9640457751348,134.268112416569,23.750744296718,31.287828889783,66.4370732981564
"196","PWY-6151","S-adenosyl-L-methionine cycle I",533.061076091344,707.826589916657,671.83386670248,701.841750383466,680.726713534573,285.950706537893,280.128750084902,290.632781111041,274.69896883326,274.787911499179,285.003298490707
"197","PWY-6163","chorismate biosynthesis from 3-dehydroquinate",1132.32160464725,1084.07125311718,1070.03161397842,1292.15103190011,1168.89471900497,254.767305336561,250.606972735504,303.0822523702,243.437108539265,243.176424353764,253.528236516776
"199","PWY-621","sucrose degradation III (sucrose invertase)",977.37457083474,1320.71324754151,1332.69521451675,1362.76481479065,1538.20739576937,31.4858917597304,13.0144364838799,49.1014719715266,13.6240168808747,12.9829385614955,14.6156868103713
"200","PWY-6263","superpathway of menaquinol-8 biosynthesis II",66.0095375321703,100.659093429418,51.951654845971,68.738653206645,19.9683882245267,0,2.94196961246699,0,0,0,1.48568303716751
"201","PWY-6269","adenosylcobalamin salvage from cobinamide II",346.155253732983,563.39247478214,497.038696985124,323.888405248626,544.600107148009,12.2835541970607,0.674164858460908,50.9638498632079,6.56411502360463,4.15611314309744,4.96498318579454
"202","PWY-6277","superpathway of 5-aminoimidazole ribonucleotide biosynthesis",1312.24800327505,1203.62790111506,1170.28145170981,1462.50644875511,1277.46201528251,309.519398257073,305.461160816551,348.253229294332,293.561767136583,294.014879461315,306.804299195665
"204","PWY-6317","galactose degradation I (Leloir pathway)",888.228186775776,1060.15571305582,1042.58541044561,1146.10299585822,1185.30788339646,348.944182126849,341.386717246837,349.33054896702,338.074073182156,338.043968878495,346.063773731656
"206","PWY-6353","purine nucleotides degradation II (aerobic)",295.684446352268,616.009605771185,534.779715092371,423.612015032511,701.94318794449,13.1639006331689,17.5681243495047,199.320402157357,24.1515408383032,16.8741265543798,44.5880745550853
"208","PWY-6385","peptidoglycan biosynthesis III (mycobacteria)",1137.89478791885,1010.3602748289,987.240533795331,1287.60814823172,1066.86426293474,279.659703787192,276.202154568136,316.337623612175,268.426595022466,268.577790320037,278.948753716869
"209","PWY-6386","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",1141.32307712376,1019.39637221636,1001.1399282649,1281.86398496263,1073.97060159453,274.846448424954,271.420006294139,310.570616436382,263.709686288737,263.805419774579,274.037753504072
"210","PWY-6387","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",1144.35691098696,1015.4267670845,994.945007578665,1296.36036385708,1071.99060068734,287.226272304522,283.986704231861,326.156043245504,275.911644097345,276.0691310436,286.537297478329
"213","PWY-6467","Kdo transfer to lipid IVA III (Chlamydia)",721.67,329.42,319.5,726.92,228.09,15,18.75,50,6.5,7.45,19.4
"214","PWY-6470","peptidoglycan biosynthesis V (&beta;-lactam resistance)",8.65090082401293,17.4834076804298,17.139461652108,0,5.3497679723893,255.255844842473,252.351880127399,274.154434515678,248.76065376798,248.499016643813,254.011216839573
"216","PWY-6478","GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis",84.8333184894361,118.975876808714,68.3622350636809,114.325739760747,79.9992275458469,230.459499990257,228.494880850785,233.938013233761,233.399198375374,232.26469765139,231.263558889658
"218","PWY-6507","4-deoxy-L-threo-hex-4-enopyranuronate degradation",1172.40656987125,825.321370841697,936.039243935788,1339.83831070987,917.418629195559,56.0950056622936,60.2845377578779,58.5957182970615,24.6868360709792,29.5877397851592,60.7155208129677
"220","PWY-6545","pyrimidine deoxyribonucleotides de novo biosynthesis III",142.952229278071,167.145049231848,130.655257820619,116.704715872628,64.0587915923443,0,0,14.0923030358262,3.58187715264111,0,2.16282397477796
"222","PWY-6572","chondroitin sulfate degradation I (bacterial)",1124.30970895732,445.854055719032,501.410197716759,1229.23127725628,396.670485679119,27.3015873015873,24.6153846153846,20.8,10.2970297029703,12.7272727272727,28.0610496807351
"223","PWY-6588","pyruvate fermentation to acetone",103.458644499118,61.7543574508707,51.3732227278882,30.5336160694108,55.2413911490178,0,3.9757362708339,0,0,0,3.97541556209251
"225","PWY-6608","guanosine nucleotides degradation III",301.754699719896,630.221709460224,496.31942606723,345.308064379428,718.286762325518,13.713489174212,9.85398432515286,152.284926927458,13.7040169691555,9.46014763086241,26.1436146016471
"226","PWY-6609","adenine and adenosine salvage III",1144.1554008402,1165.16246966589,1140.46488289369,1364.41265005457,1394.60309606995,289.045259798649,289.564004897583,308.225628979668,279.710200774287,279.640660776028,287.817890996517
"227","PWY-6612","superpathway of tetrahydrofolate biosynthesis",987.169439473216,691.09420559132,682.230983158952,1042.02658708028,722.393694935764,165.174962703724,175.264529130021,249.122752666126,96.2347586965762,115.180468037359,174.122948844792
"231","PWY-6700","queuosine biosynthesis",962.12993786932,474.821050913201,481.718332478802,1096.25725656492,409.664084871049,28.9546523682974,33.7960597927196,72.8381332830564,10.7583567814267,16.9545102536591,40.393899128177
"232","PWY-6703","preQ0 biosynthesis",783.18256490009,379.7106068628,375.141121886426,885.670088288106,313.470800640475,19.74281923197,23.816010429069,73.5145038052244,7.6675128475017,11.357742344228,28.3099133297156
"234","PWY-6737","starch degradation V",1592.66829869256,1306.00932058678,1258.41959366912,1819.93094575493,1478.74503051366,341.592937842089,335.820766493796,365.869667184683,323.977472716041,323.972364511805,338.413273825836
"236","PWY-6891","thiazole biosynthesis II (Bacillus)",38.7249717087706,52.1962639737182,34.5791155968181,17.8142259457148,9.85556532334571,0,0,0,0,0,2.31011467363753
"237","PWY-6892","thiazole biosynthesis I (E. coli)",1076.27145127395,600.68918038365,546.072483413665,1070.74125500718,414.42867666919,26.5917319456445,30.1723500527216,70.9659888455016,11.2847157674043,13.5313815701841,34.8276031984221
"238","PWY-6895","superpathway of thiamin diphosphate biosynthesis II",168.326885262388,190.554165010546,136.468668545156,83.4884762448092,44.9581554365915,0,0,0,0,0,9.22780600554784
"239","PWY-6897","thiamin salvage II",996.125356289019,808.26918902786,640.180241983216,1045.72062241055,915.368475965118,250.455032000647,244.872911188437,261.590780325965,240.758936934887,241.420211550117,249.404945446574
"240","PWY-6901","superpathway of glucose and xylose degradation",946.887847295508,620.332464715446,635.454846361512,1079.00549221023,557.63851874164,105.920229182377,115.004985703175,212.66778885076,49.5815130473368,61.936392293382,122.318904499999
"242","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)",1346.71603566628,873.966689416505,860.59561549912,1449.85445058028,786.025499240911,43.7398258524992,44.641601443425,106.239486010756,18.2378866768591,22.0415410601953,51.0010668342582
"243","PWY-7003","glycerol degradation to butanol",157.862049709338,53.2993325490931,68.5236248142439,71.7112737944478,28.2726855305121,0,1.82132208447959,0,0,0,10.0463530766473
"245","PWY-7090","UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis",24.1955764134158,25.1205492817015,13.6241795732206,21.5171776647277,5.39121955721343,0,0,0,0,0,0
"249","PWY-7111","pyruvate fermentation to isobutanol (engineered)",1394.93362397306,1391.59720280683,1321.61774799106,1606.83559879262,1537.71959510838,381.453081412317,371.702105396265,455.936618038612,366.851657921631,365.649884354264,376.639176367792
"251","PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I",422.709060068458,293.542502345187,239.083187822734,579.694694259087,189.177530543228,31.7933721570178,35.7427928506808,100.641384231758,13.1675754080074,15.7245079925155,41.8896101305557
"252","PWY-7187","pyrimidine deoxyribonucleotides de novo biosynthesis II",468.113198760054,358.413530353976,287.97819995133,646.761620246955,235.512245346784,60.4161956630568,66.5304919635444,149.819184543978,27.2692327815496,32.1540800492302,76.0265169598719
"253","PWY-7196","superpathway of pyrimidine ribonucleosides salvage",1168.64354424321,611.545522820069,638.779894071731,1243.92753803902,535.771437129919,43.5776095704332,48.5928268165755,125.527565670471,18.5006756865799,21.9996372007222,56.4839299217468
